timestamp	value
2025:04:30 15:39:42.844	V12;0
2025:04:30 15:39:43.555	aprilTagOn parsing; false
2025:04:30 15:39:43.764	MBID;31,현재펄스;-178183,최단회전 펄스 선택;0,833146,-833146 = (0)
2025:04:30 15:39:44.271	모터명령어;_run_code;<module>;RunListBlbMotorsEx;SendCMD_Device
2025:04:30 15:39:44.418	"[{""MBID""; ""31"", ""CMD""; ""WMOVE"", ""MODE""; ""1"", ""POS""; 0, ""SPD""; ""500"", ""ACC""; ""3000"", ""DECC""; ""5000"", ""TIME""; 8.1}] from callbackCmd - SendCMD"
2025:04:30 15:39:48.598	SHAKE_MBID;31,평균;2.076,최소;0.63,최대;3.03
2025:04:30 15:39:49.867	모터명령어;_run_code;<module>;RunListBlbMotorsEx;SendCMD_Device
2025:04:30 15:39:50.005	"[{""MBID""; ""11"", ""CMD""; ""WMOVE"", ""MODE""; ""1"", ""POS""; ""-200000"", ""SPD""; ""100"", ""ACC""; ""1800"", ""DECC""; ""3000"", ""TIME""; 16.2}, {""MBID""; ""13"", ""CMD""; ""WMOVE"", ""MODE""; ""1"", ""POS""; ""0"", ""SPD""; ""1800"", ""ACC""; ""300"", ""DECC""; ""1500"", ""TIME""; 1.9}, {""MBID""; ""10"", ""CMD""; ""WMOVE"", ""MODE""; ""1"", ""POS""; ""0"", ""SPD""; ""1380"", ""ACC""; ""600"", ""DECC""; ""1500"", ""TIME""; 2.4}] from callbackCmd - SendCMD"
2025:04:30 15:39:51.739	SHAKE_MBID;10,평균;0.48,최소;0.34,최대;0.62
2025:04:30 15:39:51.977	SHAKE_MBID;13,평균;0.473,최소;0.34,최대;0.62
2025:04:30 15:40:02.959	SHAKE_MBID;11,평균;0.43,최소;0.13,최대;1.04
2025:04:30 15:40:03.911	MBID;27,현재펄스;36103,최단회전 펄스 선택;599444,1249444,-50556 = (-50556)
2025:04:30 15:40:04.384	모터명령어;_run_code;<module>;RunListBlbMotorsEx;SendCMD_Device
2025:04:30 15:40:04.535	"[{""MBID""; ""27"", ""CMD""; ""WMOVE"", ""MODE""; ""1"", ""POS""; -50556, ""SPD""; ""300"", ""ACC""; ""3000"", ""DECC""; ""5000"", ""TIME""; 8.2}] from callbackCmd - SendCMD"
2025:04:30 15:40:07.533	SHAKE_MBID;27,평균;2.456,최소;1.03,최대;3.58
2025:04:30 15:40:08.464	Camera settings updated; 2,640,480
2025:04:30 15:40:08.942	aprilTagOn parsing; true
2025:04:30 15:40:09.140	모터명령어;_run_code;<module>;RunListBlbMotorsEx;SendCMD_Device
2025:04:30 15:40:09.333	"[{""MBID""; ""11"", ""CMD""; ""WMOVE"", ""MODE""; ""1"", ""POS""; ""0"", ""SPD""; ""300"", ""ACC""; ""1800"", ""DECC""; ""3000""}] from callbackCmd - SendCMD"
2025:04:30 15:40:14.109	SHAKE_MBID;11,평균;9.294,최소;1.05,최대;26.01
2025:04:30 15:40:15.218	모터명령어;_run_code;<module>;RunListBlbMotorsEx;SendCMD_Device
2025:04:30 15:40:15.359	"[{""MBID""; ""11"", ""CMD""; ""WMOVE"", ""MODE""; ""1"", ""POS""; ""23333"", ""SPD""; ""139"", ""ACC""; ""1800"", ""DECC""; ""3000"", ""TIME""; 4.8}, {""MBID""; ""13"", ""CMD""; ""WMOVE"", ""MODE""; ""1"", ""POS""; ""236486"", ""SPD""; ""1800"", ""ACC""; ""300"", ""DECC""; ""1500"", ""TIME""; 2.1}, {""MBID""; ""10"", ""CMD""; ""WMOVE"", ""MODE""; ""1"", ""POS""; ""168918"", ""SPD""; ""1380"", ""ACC""; ""900"", ""DECC""; ""1500"", ""TIME""; 2.5}] from callbackCmd - SendCMD"
2025:04:30 15:40:16.885	SHAKE_MBID;11,평균;1.364,최소;1.28,최대;1.41
2025:04:30 15:40:17.832	SHAKE_MBID;10,평균;1.281,최소;0.97,최대;1.41
2025:04:30 15:40:18.000	SHAKE_MBID;13,평균;1.267,최소;0.97,최대;1.41
2025:04:30 15:40:18.859	MBID;31,현재펄스;0,최단회전 펄스 선택;138858,972004,-694288 = (138858)
2025:04:30 15:40:19.348	모터명령어;_run_code;<module>;RunListBlbMotorsEx;SendCMD_Device
2025:04:30 15:40:19.507	"[{""MBID""; ""31"", ""CMD""; ""WMOVE"", ""MODE""; ""1"", ""POS""; 138858, ""SPD""; ""500"", ""ACC""; ""5000"", ""DECC""; ""3000"", ""TIME""; 8.2}] from callbackCmd - SendCMD"
2025:04:30 15:40:23.198	SHAKE_MBID;31,평균;8.147,최소;0.59,최대;24.43
2025:04:30 15:40:24.609	aprilTagOn parsing; false
2025:04:30 15:40:25.070	모터명령어;_run_code;<module>;RunListBlbMotorsEx;SendCMD_Device
2025:04:30 15:40:25.255	"[{""MBID""; ""6"", ""CMD""; ""WMOVE"", ""MODE""; ""1"", ""POS""; ""880000"", ""SPD""; ""800"", ""ACC""; ""1000"", ""DECC""; ""1000"", ""TIME""; 8.1}] from callbackCmd - SendCMD"
2025:04:30 15:40:32.692	SHAKE_MBID;6,평균;4.139,최소;1.09,최대;10.87
2025:04:30 15:40:32.879	모터명령어;_run_code;<module>;MotorBalanceControlEx;SendCMD_Device
2025:04:30 15:40:33.197	"[{""MBID""; ""6"", ""CMD""; ""WSPD"", ""SPD""; ""800"", ""ACC""; ""800"", ""DECC""; ""800""}] from callbackCmd - SendCMD"
2025:04:30 15:40:33.447	aprilTagOn parsing; false
2025:04:30 15:40:40.031	TTS OK ; 10,10,H1 시작.
2025:04:30 15:40:40.340	H1;_invoke_callback;callbackBLB_CMD;HomeCall;InsertTableList;SetTableTarget
2025:04:30 15:40:40.536	54004; Home Called
2025:04:30 15:40:40.624	H1;_run_module_code;_run_code;<module>;GenerateServingTableList;SetTableTarget
2025:04:30 15:40:41.035	aprilTagOn parsing; false
2025:04:30 15:40:42.491	모터명령어;_run_code;<module>;RunListBlbMotorsEx;SendCMD_Device
2025:04:30 15:40:42.634	"[{""MBID""; ""6"", ""CMD""; ""WMOVE"", ""MODE""; ""1"", ""POS""; ""0"", ""SPD""; ""800"", ""ACC""; ""1000"", ""DECC""; ""1000"", ""TIME""; 8.1}] from callbackCmd - SendCMD"
2025:04:30 15:40:50.069	SHAKE_MBID;6,평균;2.503,최소;0.11,최대;11.64
2025:04:30 15:40:50.306	V12;0
2025:04:30 15:40:50.946	aprilTagOn parsing; false
2025:04:30 15:40:51.137	MBID;31,현재펄스;138862,최단회전 펄스 선택;0,833146,-833146 = (0)
2025:04:30 15:40:51.672	모터명령어;_run_code;<module>;RunListBlbMotorsEx;SendCMD_Device
2025:04:30 15:40:51.795	"[{""MBID""; ""31"", ""CMD""; ""WMOVE"", ""MODE""; ""1"", ""POS""; 0, ""SPD""; ""500"", ""ACC""; ""3000"", ""DECC""; ""5000"", ""TIME""; 8.2}] from callbackCmd - SendCMD"
2025:04:30 15:40:55.476	SHAKE_MBID;31,평균;2.628,최소;0.25,최대;4.58
2025:04:30 15:40:56.520	모터명령어;_run_code;<module>;RunListBlbMotorsEx;SendCMD_Device
2025:04:30 15:40:56.671	"[{""MBID""; ""11"", ""CMD""; ""WMOVE"", ""MODE""; ""1"", ""POS""; ""-200000"", ""SPD""; ""139"", ""ACC""; ""1800"", ""DECC""; ""3000"", ""TIME""; 13.0}, {""MBID""; ""13"", ""CMD""; ""WMOVE"", ""MODE""; ""1"", ""POS""; ""0"", ""SPD""; ""1800"", ""ACC""; ""300"", ""DECC""; ""1500"", ""TIME""; 2.1}, {""MBID""; ""10"", ""CMD""; ""WMOVE"", ""MODE""; ""1"", ""POS""; ""0"", ""SPD""; ""1380"", ""ACC""; ""600"", ""DECC""; ""1500"", ""TIME""; 2.1}] from callbackCmd - SendCMD"
2025:04:30 15:40:59.043	SHAKE_MBID;10,평균;1.215,최소;1.12,최대;1.26
2025:04:30 15:40:59.326	SHAKE_MBID;13,평균;1.207,최소;1.12,최대;1.26
2025:04:30 15:41:06.654	SHAKE_MBID;11,평균;1.318,최소;0.45,최대;2.48
2025:04:30 15:41:07.619	MBID;27,현재펄스;-50560,최단회전 펄스 선택;325000,975000,-325000 = (-325000)
2025:04:30 15:41:08.062	모터명령어;_run_code;<module>;RunListBlbMotorsEx;SendCMD_Device
2025:04:30 15:41:08.249	"[{""MBID""; ""27"", ""CMD""; ""WMOVE"", ""MODE""; ""1"", ""POS""; -325000, ""SPD""; ""300"", ""ACC""; ""3000"", ""DECC""; ""5000"", ""TIME""; 11.4}] from callbackCmd - SendCMD"
2025:04:30 15:41:14.988	SHAKE_MBID;27,평균;1.446,최소;0.41,최대;3.36
2025:04:30 15:41:15.930	Camera settings updated; 2,640,480
2025:04:30 15:41:16.237	POS=0 SPD=2000 endnode=1;<module>;RunListBlbMotorsEx;MoveH_MotorRFID
2025:04:30 15:41:16.665	"[{""MBID""; ""15"", ""CMD""; ""WE_OFF""}, {""MBID""; ""15"", ""CMD""; ""WMOVE"", ""MODE""; ""1"", ""POS""; ""0"", ""SPD""; ""2000"", ""ACC""; ""5000"", ""DECC""; ""5000""}] from callbackCmd - SendCMD"
2025:04:30 15:41:23.469	SHAKE_MBID;15,평균;21.225,최소;0.61,최대;78.56
2025:04:30 15:41:23.851	1;_invoke_callback;callbackAck;SetCurrentNodeNOTAG,E2009A3030033AF000000811
2025:04:30 15:41:23.887	"[{""MBID""; ""15"", ""CMD""; ""WMOVE"", ""MODE""; ""1"", ""POS""; ""185232"", ""SPD""; ""100"", ""ACC""; ""5000"", ""DECC""; ""5000""}] from callbackCmd - SendCMD"
2025:04:30 15:41:26.570	"[{""MBID""; ""15"", ""CMD""; ""WE_ON""}] from callbackCmd - SendCMD"
2025:04:30 15:41:35.996	SHAKE_MBID;15,평균;0.421,최소;0.13,최대;0.81
2025:04:30 15:41:36.426	"[{""MBID""; ""15"", ""CMD""; ""WMOVE"", ""MODE""; ""1"", ""POS""; ""104054"", ""SPD""; ""100"", ""ACC""; ""5000"", ""DECC""; ""5000""}] from callbackCmd - SendCMD"
2025:04:30 15:41:42.265	SHAKE_MBID;15,평균;0.306,최소;0.12,최대;0.52
2025:04:30 15:41:42.802	1;_invoke_callback;callbackAck;SetCurrentNodeNOTAG,E2009A3030033AF000000811
2025:04:30 16:48:54.218	"[{""MBID""; ""15"", ""CMD""; ""WE_OFF""}, {""MBID""; ""15"", ""CMD""; ""WMOVE"", ""MODE""; ""1"", ""POS""; ""0"", ""SPD""; ""550"", ""ACC""; ""5000"", ""DECC""; ""5000""}] from callbackCmd - SendCMD"
2025:04:30 16:48:56.365	"[{""MBID""; ""15"", ""CMD""; ""WE_ON""}] from callbackCmd - SendCMD"
2025:04:30 16:48:58.570	"[{""MBID""; ""15"", ""CMD""; ""WMOVE"", ""MODE""; ""1"", ""POS""; ""-10033"", ""SPD""; ""100"", ""ACC""; ""5000"", ""DECC""; ""5000""}] from callbackCmd - SendCMD"
2025:04:30 16:48:59.375	"[{""MBID""; ""15"", ""CMD""; ""WE_OFF""}, {""MBID""; ""15"", ""CMD""; ""WLOC"", ""POS""; ""0""}, {""MBID""; ""15"", ""CMD""; ""WE_ON""}] from callbackCmd - SendCMD"
2025:04:30 19:10:14.143	"[{""MBID""; ""15"", ""CMD""; ""WE_OFF""}, {""MBID""; ""15"", ""CMD""; ""WMOVE"", ""MODE""; ""1"", ""POS""; ""975000"", ""SPD""; ""550"", ""ACC""; ""5000"", ""DECC""; ""5000""}] from callbackCmd - SendCMD"
2025:04:30 19:10:21.930	"[{""MBID""; ""15"", ""CMD""; ""WSPD"", ""SPD""; ""500"", ""ACC""; ""5000"", ""DECC""; ""5000""}] from callbackCmd - SendCMD"
2025:04:30 19:10:25.789	"[{""MBID""; ""15"", ""CMD""; ""WE_ON""}] from callbackCmd - SendCMD"
2025:04:30 19:10:27.692	"[{""MBID""; ""15"", ""CMD""; ""WE_OFF""}, {""MBID""; ""15"", ""CMD""; ""WLOC"", ""POS""; ""975000""}, {""MBID""; ""15"", ""CMD""; ""WE_ON""}] from callbackCmd - SendCMD"
2025:04:30 19:10:53.179	"[{""MBID""; ""27"", ""CMD""; ""WMOVE"", ""MODE""; ""1"", ""POS""; ""324900"", ""SPD""; ""300"", ""ACC""; ""5000"", ""DECC""; ""5000""}] from callbackCmd - SendCMD"
2025:04:30 19:11:29.607	"[{""MBID""; ""15"", ""CMD""; ""WE_OFF""}, {""MBID""; ""15"", ""CMD""; ""WMOVE"", ""MODE""; ""1"", ""POS""; ""-1592959"", ""SPD""; ""550"", ""ACC""; ""5000"", ""DECC""; ""5000""}] from callbackCmd - SendCMD"
2025:04:30 19:11:35.470	"[{""MBID""; ""15"", ""CMD""; ""WSPD"", ""SPD""; ""1000"", ""ACC""; ""5000"", ""DECC""; ""5000""}] from callbackCmd - SendCMD"
2025:04:30 19:11:49.371	"[{""MBID""; ""15"", ""CMD""; ""WE_ON""}] from callbackCmd - SendCMD"
2025:04:30 19:11:50.990	"[{""MBID""; ""15"", ""CMD""; ""WSPD"", ""SPD""; ""500"", ""ACC""; ""5000"", ""DECC""; ""5000""}] from callbackCmd - SendCMD"
2025:04:30 19:11:51.775	"[{""MBID""; ""15"", ""CMD""; ""WMOVE"", ""MODE""; ""1"", ""POS""; ""-1602972"", ""SPD""; ""100"", ""ACC""; ""5000"", ""DECC""; ""5000""}] from callbackCmd - SendCMD"
2025:04:30 19:11:52.419	"[{""MBID""; ""15"", ""CMD""; ""WSPD"", ""SPD""; ""500"", ""ACC""; ""5000"", ""DECC""; ""5000""}] from callbackCmd - SendCMD"
2025:04:30 19:11:53.117	"[{""MBID""; ""15"", ""CMD""; ""WMOVE"", ""MODE""; ""1"", ""POS""; ""-1612995"", ""SPD""; ""100"", ""ACC""; ""5000"", ""DECC""; ""5000""}] from callbackCmd - SendCMD"
2025:04:30 19:11:54.389	"[{""MBID""; ""15"", ""CMD""; ""WMOVE"", ""MODE""; ""1"", ""POS""; ""-1623022"", ""SPD""; ""100"", ""ACC""; ""5000"", ""DECC""; ""5000""}] from callbackCmd - SendCMD"
2025:04:30 19:11:55.666	MBID;10,CMD;WSTOP,DECC;5000 from callbackCmd - stopMotor
2025:04:30 19:11:55.686	MBID;27,CMD;WSTOP,DECC;5000 from callbackCmd - stopMotor
2025:04:30 19:11:55.719	MBID;6,CMD;WSTOP,DECC;5000 from callbackCmd - stopMotor
2025:04:30 19:11:55.737	MBID;11,CMD;WSTOP,DECC;5000 from callbackCmd - stopMotor
2025:04:30 19:11:55.760	MBID;9,CMD;WSTOP,DECC;5000 from callbackCmd - stopMotor
2025:04:30 19:11:55.780	MBID;31,CMD;WSTOP,DECC;5000 from callbackCmd - stopMotor
2025:04:30 19:11:55.799	MBID;15,CMD;WSTOP,DECC;5000 from callbackCmd - stopMotor
2025:04:30 19:11:55.819	MBID;13,CMD;WSTOP,DECC;5000 from callbackCmd - stopMotor
2025:04:30 19:11:56.349	TTS OK ; 10,10,알람이 발생하였습니다.
2025:04:30 19:19:47.752	"[{""MBID""; ""15"", ""CMD""; ""WE_OFF""}, {""MBID""; ""15"", ""CMD""; ""WMOVE"", ""MODE""; ""1"", ""POS""; ""600000"", ""SPD""; ""550"", ""ACC""; ""5000"", ""DECC""; ""5000""}] from callbackCmd - SendCMD"
2025:04:30 19:19:49.103	"[{""MBID""; ""15"", ""CMD""; ""WSPD"", ""SPD""; ""1000"", ""ACC""; ""5000"", ""DECC""; ""5000""}] from callbackCmd - SendCMD"
2025:04:30 19:20:05.674	"[{""MBID""; ""15"", ""CMD""; ""WSPD"", ""SPD""; ""500"", ""ACC""; ""5000"", ""DECC""; ""5000""}] from callbackCmd - SendCMD"
2025:04:30 19:20:06.279	"[{""MBID""; ""15"", ""CMD""; ""WSPD"", ""SPD""; ""1000"", ""ACC""; ""5000"", ""DECC""; ""5000""}] from callbackCmd - SendCMD"
2025:04:30 19:23:00.502	"[{""MBID""; ""15"", ""CMD""; ""WE_OFF""}, {""MBID""; ""15"", ""CMD""; ""WMOVE"", ""MODE""; ""1"", ""POS""; ""-408259"", ""SPD""; ""550"", ""ACC""; ""5000"", ""DECC""; ""5000""}] from callbackCmd - SendCMD"
2025:04:30 19:23:00.650	"[{""MBID""; ""15"", ""CMD""; ""WSPD"", ""SPD""; ""500"", ""ACC""; ""5000"", ""DECC""; ""5000""}] from callbackCmd - SendCMD"
2025:04:30 19:23:00.696	"[{""MBID""; ""15"", ""CMD""; ""WSPD"", ""SPD""; ""1000"", ""ACC""; ""5000"", ""DECC""; ""5000""}] from callbackCmd - SendCMD"
2025:04:30 19:23:03.273	"[{""MBID""; ""15"", ""CMD""; ""WE_ON""}] from callbackCmd - SendCMD"
2025:04:30 19:23:11.675	"[{""MBID""; ""15"", ""CMD""; ""WMOVE"", ""MODE""; ""1"", ""POS""; ""-418275"", ""SPD""; ""100"", ""ACC""; ""5000"", ""DECC""; ""5000""}] from callbackCmd - SendCMD"
2025:04:30 19:23:12.943	"[{""MBID""; ""15"", ""CMD""; ""WMOVE"", ""MODE""; ""1"", ""POS""; ""-428284"", ""SPD""; ""100"", ""ACC""; ""5000"", ""DECC""; ""5000""}] from callbackCmd - SendCMD"
2025:04:30 19:23:14.218	"[{""MBID""; ""15"", ""CMD""; ""WMOVE"", ""MODE""; ""1"", ""POS""; ""-438297"", ""SPD""; ""100"", ""ACC""; ""5000"", ""DECC""; ""5000""}] from callbackCmd - SendCMD"
2025:04:30 19:23:15.545	MBID;10,CMD;WSTOP,DECC;5000 from callbackCmd - stopMotor
2025:04:30 19:23:15.565	MBID;27,CMD;WSTOP,DECC;5000 from callbackCmd - stopMotor
2025:04:30 19:23:15.582	MBID;6,CMD;WSTOP,DECC;5000 from callbackCmd - stopMotor
2025:04:30 19:23:15.592	MBID;11,CMD;WSTOP,DECC;5000 from callbackCmd - stopMotor
2025:04:30 19:23:15.611	MBID;9,CMD;WSTOP,DECC;5000 from callbackCmd - stopMotor
2025:04:30 19:23:15.626	MBID;31,CMD;WSTOP,DECC;5000 from callbackCmd - stopMotor
2025:04:30 19:23:15.646	MBID;15,CMD;WSTOP,DECC;5000 from callbackCmd - stopMotor
2025:04:30 19:23:15.663	MBID;13,CMD;WSTOP,DECC;5000 from callbackCmd - stopMotor
2025:04:30 19:23:15.977	TTS OK ; 10,10,알람이 발생하였습니다.
2025:04:30 19:26:02.043	"[{""MBID""; ""15"", ""CMD""; ""WE_OFF""}, {""MBID""; ""15"", ""CMD""; ""WMOVE"", ""MODE""; ""1"", ""POS""; ""975000"", ""SPD""; ""1550"", ""ACC""; ""5000"", ""DECC""; ""5000""}] from callbackCmd - SendCMD"
2025:04:30 19:26:10.428	"[{""MBID""; ""15"", ""CMD""; ""WSPD"", ""SPD""; ""500"", ""ACC""; ""5000"", ""DECC""; ""5000""}] from callbackCmd - SendCMD"
2025:04:30 19:26:13.107	"[{""MBID""; ""15"", ""CMD""; ""WE_ON""}] from callbackCmd - SendCMD"
2025:04:30 19:26:15.484	"[{""MBID""; ""15"", ""CMD""; ""WMOVE"", ""MODE""; ""1"", ""POS""; ""984998"", ""SPD""; ""100"", ""ACC""; ""5000"", ""DECC""; ""5000""}] from callbackCmd - SendCMD"
2025:04:30 19:26:16.796	"[{""MBID""; ""15"", ""CMD""; ""WMOVE"", ""MODE""; ""1"", ""POS""; ""995010"", ""SPD""; ""100"", ""ACC""; ""5000"", ""DECC""; ""5000""}] from callbackCmd - SendCMD"
2025:04:30 19:26:18.078	"[{""MBID""; ""15"", ""CMD""; ""WMOVE"", ""MODE""; ""1"", ""POS""; ""1005022"", ""SPD""; ""100"", ""ACC""; ""5000"", ""DECC""; ""5000""}] from callbackCmd - SendCMD"
2025:04:30 19:26:19.356	MBID;10,CMD;WSTOP,DECC;5000 from callbackCmd - stopMotor
2025:04:30 19:26:19.373	MBID;27,CMD;WSTOP,DECC;5000 from callbackCmd - stopMotor
2025:04:30 19:26:19.391	MBID;6,CMD;WSTOP,DECC;5000 from callbackCmd - stopMotor
2025:04:30 19:26:19.407	MBID;11,CMD;WSTOP,DECC;5000 from callbackCmd - stopMotor
2025:04:30 19:26:19.422	MBID;9,CMD;WSTOP,DECC;5000 from callbackCmd - stopMotor
2025:04:30 19:26:19.441	MBID;31,CMD;WSTOP,DECC;5000 from callbackCmd - stopMotor
2025:04:30 19:26:19.460	MBID;15,CMD;WSTOP,DECC;5000 from callbackCmd - stopMotor
2025:04:30 19:26:19.472	MBID;13,CMD;WSTOP,DECC;5000 from callbackCmd - stopMotor
2025:04:30 19:26:32.575	"[{""MBID""; ""15"", ""CMD""; ""WE_OFF""}, {""MBID""; ""15"", ""CMD""; ""WMOVE"", ""MODE""; ""1"", ""POS""; ""-408259"", ""SPD""; ""1550"", ""ACC""; ""5000"", ""DECC""; ""5000""}] from callbackCmd - SendCMD"
2025:04:30 19:26:37.643	"[{""MBID""; ""15"", ""CMD""; ""WSPD"", ""SPD""; ""1000"", ""ACC""; ""5000"", ""DECC""; ""5000""}] from callbackCmd - SendCMD"
2025:04:30 19:26:38.339	"[{""MBID""; ""15"", ""CMD""; ""WE_ON""}] from callbackCmd - SendCMD"
2025:04:30 19:26:46.239	"[{""MBID""; ""15"", ""CMD""; ""WMOVE"", ""MODE""; ""1"", ""POS""; ""-418275"", ""SPD""; ""100"", ""ACC""; ""5000"", ""DECC""; ""5000""}] from callbackCmd - SendCMD"
2025:04:30 19:26:47.520	"[{""MBID""; ""15"", ""CMD""; ""WMOVE"", ""MODE""; ""1"", ""POS""; ""-428283"", ""SPD""; ""100"", ""ACC""; ""5000"", ""DECC""; ""5000""}] from callbackCmd - SendCMD"
2025:04:30 19:26:48.795	"[{""MBID""; ""15"", ""CMD""; ""WMOVE"", ""MODE""; ""1"", ""POS""; ""-438299"", ""SPD""; ""100"", ""ACC""; ""5000"", ""DECC""; ""5000""}] from callbackCmd - SendCMD"
2025:04:30 19:26:50.057	MBID;10,CMD;WSTOP,DECC;5000 from callbackCmd - stopMotor
2025:04:30 19:26:50.074	MBID;27,CMD;WSTOP,DECC;5000 from callbackCmd - stopMotor
2025:04:30 19:26:50.089	MBID;6,CMD;WSTOP,DECC;5000 from callbackCmd - stopMotor
2025:04:30 19:26:50.103	MBID;11,CMD;WSTOP,DECC;5000 from callbackCmd - stopMotor
2025:04:30 19:26:50.121	MBID;9,CMD;WSTOP,DECC;5000 from callbackCmd - stopMotor
2025:04:30 19:26:50.143	MBID;31,CMD;WSTOP,DECC;5000 from callbackCmd - stopMotor
2025:04:30 19:26:50.164	MBID;15,CMD;WSTOP,DECC;5000 from callbackCmd - stopMotor
2025:04:30 19:26:50.180	MBID;13,CMD;WSTOP,DECC;5000 from callbackCmd - stopMotor
2025:04:30 19:28:57.197	"[{""MBID""; ""15"", ""CMD""; ""WE_OFF""}, {""MBID""; ""15"", ""CMD""; ""WMOVE"", ""MODE""; ""1"", ""POS""; ""600000"", ""SPD""; ""1550"", ""ACC""; ""5000"", ""DECC""; ""5000""}] from callbackCmd - SendCMD"
2025:04:30 19:29:07.957	"[{""MBID""; ""15"", ""CMD""; ""WSPD"", ""SPD""; ""500"", ""ACC""; ""5000"", ""DECC""; ""5000""}] from callbackCmd - SendCMD"
2025:04:30 19:29:08.503	"[{""MBID""; ""15"", ""CMD""; ""WSPD"", ""SPD""; ""1000"", ""ACC""; ""5000"", ""DECC""; ""5000""}] from callbackCmd - SendCMD"
2025:04:30 19:29:31.350	"[{""MBID""; ""15"", ""CMD""; ""WE_ON""}] from callbackCmd - SendCMD"
2025:04:30 19:29:59.252	MBID;15,CMD;WMOVE,MODE;65,POS;500000,SPD;150,ACC;1000,DECC;1000 from callbackCmd - _invoke_callback
2025:04:30 19:29:59.364	"[{""MBID""; ""15"", ""CMD""; ""WSPD"", ""SPD""; ""1000"", ""ACC""; ""5000"", ""DECC""; ""5000""}] from callbackCmd - SendCMD"
2025:04:30 19:29:59.407	"[{""MBID""; ""15"", ""CMD""; ""WSPD"", ""SPD""; ""500"", ""ACC""; ""5000"", ""DECC""; ""5000""}] from callbackCmd - SendCMD"
2025:04:30 19:30:07.521	MBID;10,CMD;WSTOP,DECC;5000 from callbackCmd - stopMotor
2025:04:30 19:30:07.541	MBID;27,CMD;WSTOP,DECC;5000 from callbackCmd - stopMotor
2025:04:30 19:30:07.565	MBID;6,CMD;WSTOP,DECC;5000 from callbackCmd - stopMotor
2025:04:30 19:30:07.580	MBID;11,CMD;WSTOP,DECC;5000 from callbackCmd - stopMotor
2025:04:30 19:30:07.596	MBID;9,CMD;WSTOP,DECC;5000 from callbackCmd - stopMotor
2025:04:30 19:30:07.609	MBID;31,CMD;WSTOP,DECC;5000 from callbackCmd - stopMotor
2025:04:30 19:30:07.630	MBID;15,CMD;WSTOP,DECC;5000 from callbackCmd - stopMotor
2025:04:30 19:30:07.651	MBID;13,CMD;WSTOP,DECC;5000 from callbackCmd - stopMotor
2025:04:30 19:30:24.894	MBID;15,CMD;WMOVE,MODE;1,POS;975000,SPD;150,ACC;3000,DECC;5000 from callbackCmd - _invoke_callback
2025:04:30 19:30:30.827	MBID;10,CMD;WSTOP,DECC;5000 from callbackCmd - stopMotor
2025:04:30 19:30:30.845	MBID;27,CMD;WSTOP,DECC;5000 from callbackCmd - stopMotor
2025:04:30 19:30:30.867	MBID;6,CMD;WSTOP,DECC;5000 from callbackCmd - stopMotor
2025:04:30 19:30:30.882	MBID;11,CMD;WSTOP,DECC;5000 from callbackCmd - stopMotor
2025:04:30 19:30:30.901	MBID;9,CMD;WSTOP,DECC;5000 from callbackCmd - stopMotor
2025:04:30 19:30:30.919	MBID;31,CMD;WSTOP,DECC;5000 from callbackCmd - stopMotor
2025:04:30 19:30:30.935	MBID;15,CMD;WSTOP,DECC;5000 from callbackCmd - stopMotor
